#
#   VizieR Astronomical Server cdsarc.u-strasbg.fr
#    Date: 2017-01-25T09:20:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ58886c960518	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=I/311/hip2
#-nav=cat:I/311&tab:{I/311/hip2}&key:source=I/311/hip2&pos:03:47:00 +24:03:00(   2 deg J2000)&HTTPPRM:&&-ref=VIZ58886c960518&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c=03:47:00 +24:03:00&-c.eq=J2000&-c.r=  2&-c.u=deg&-c.geom=r&-order=I&-out=HIP&-out=n_HIP&-out=Sn&-out=So&-out=RArad&-out=DErad&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Hpmag&-out=B-V&-out=HIP1&-ignore=HIP1=*&HIP1=HIP1&Phot=Phot&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/311/hip2
#-c=03:47:00 +24:03:00
#-c.eq=J2000
#-c.r=  2
#-c.u=deg
#-c.geom=r
#-source=I/311/hip2
#-order=I
#-out=HIP
#-out=n_HIP
#-out=Sn
#-out=So
#-out=RArad
#-out=DErad
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Hpmag
#-out=B-V
#-out=HIP1
#
#INFO	-c=056.750000+24.050000,rd=2.	
#

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#Column	HIP	(I6)	Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	n_HIP	(A1)	Existence of a note in the first version of Hipparcos catalog on {\bf D}uplicity, {\bf P}hotometry or a {\bf General} note; letters W, X, Y, Z indicate notes on several topics (field H70 of the 1997 edition, Cat. I/239)	[ucd=meta.note]
#Column	Sn	(I3)	[0,159] Solution type new reduction (1)	[ucd=meta.id;stat.fit]
#Column	So	(I1)	[0,5] Solution type old reduction (2)	[ucd=meta.id;stat.fit]
#Column	RArad	(F12.8)	Right Ascension in ICRS, Ep=1991.25	[ucd=pos.eq.ra;meta.main]
#Column	DErad	(F12.8)	Declination in ICRS, Ep=1991.25	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	Parallax	[ucd=pos.parallax]
#Column	e_Plx	(F6.2)	Formal error on Plx	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.2)	Formal error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.2)	Formal error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Hpmag	(F7.4)	Hipparcos magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	HIP1	(A4)	Data from the first edition of the Hipparcos Catalog (1997, Cat. I/239)	[ucd=meta.ref.url]
#HIP	n_HIP	Sn	So	RArad	DErad	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Hpmag	B-V	HIP1
# 	 	 	 	deg	deg	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	mag	mag	
#———	-	---	-	------------	------------	-------	------	--------	------	--------	------	-------	------	----
 17692	 	  5	0	056.83731961	+23.80345385	   8.90	  0.77	   18.56	  0.75	  -44.31	  0.60	 7.0227	 0.030	HIP1
 17694	 	 75	4	056.84535265	+22.92223155	   8.62	  0.84	   20.91	  1.04	  -44.88	  0.87	 8.2381	 0.255	HIP1
 17702	 	  5	0	056.87110081	+24.10524179	   8.09	  0.42	   19.34	  0.39	  -43.67	  0.33	 2.8480	-0.086	HIP1
 17704	 	  5	0	056.87267468	+24.28845290	   9.42	  0.75	   18.33	  0.87	  -44.69	  0.74	 6.8592	 0.066	HIP1
 17729	 	  5	0	056.94509471	+25.38580796	   9.68	  0.93	   19.26	  0.96	  -46.75	  0.91	 8.3816	 0.262	HIP1
 17759	 	  5	0	057.02732727	+24.98848492	   6.03	  0.70	  -28.00	  0.78	  -28.00	  0.74	 6.5461	 1.701	HIP1
 17776	 	  5	0	057.08668458	+23.42136364	   8.45	  0.39	   17.99	  0.39	  -46.57	  0.32	 5.4355	-0.067	HIP1
 17791	 	  5	0	057.12535040	+24.34562943	   7.87	  1.32	   17.68	  1.48	  -43.28	  1.37	 7.0038	 0.128	HIP1
 17812	 	  5	0	057.17454968	+25.80075460	   3.38	  1.06	   -2.22	  1.53	   -4.48	  1.74	 8.4829	 0.110	HIP1
 17828	 	  5	0	057.22794172	+22.79922128	   4.15	  0.97	    6.76	  1.14	   -4.45	  0.93	 8.1391	 0.050	HIP1
 17832	 	  5	0	057.23713023	+23.85727235	  13.22	  0.52	   46.63	  0.53	  -56.75	  0.44	 6.5595	 0.377	HIP1
 17847	 	 75	4	057.29054699	+24.05352413	   8.53	  0.39	   17.70	  0.36	  -44.18	  0.32	 3.6084	-0.070	HIP1
 17851	 	  5	0	057.29668416	+24.13682556	   8.54	  0.31	   18.07	  0.30	  -47.20	  0.27	 5.0295	-0.082	HIP1
 17862	 	  5	0	057.34057535	+24.38106398	   8.18	  0.59	   17.42	  0.65	  -45.38	  0.52	 6.6115	-0.027	HIP1
 17892	 	  5	0	057.40903632	+22.53359199	   8.30	  0.66	   18.52	  0.80	  -42.87	  0.65	 7.0302	 0.033	HIP1
 17900	 	  5	0	057.43133303	+23.71196321	   8.72	  0.60	   16.73	  0.63	  -44.82	  0.53	 6.1646	-0.046	HIP1
 17921	 	  5	0	057.47940817	+22.24426274	   8.86	  0.42	   24.31	  0.48	  -44.46	  0.39	 6.0720	-0.006	HIP1
 17923	G	 15	3	057.49184621	+23.84880345	   6.81	  0.72	   16.81	  0.82	  -44.88	  0.68	 6.7608	 0.063	HIP1
 17928	 	  5	0	057.51401483	+22.59178987	  24.89	  0.75	  156.86	  0.88	  -60.62	  0.73	 7.4024	 0.538	HIP1
 17954	 	 55	3	057.57881127	+25.57964845	  17.71	  0.55	   41.00	  0.70	 -112.74	  0.73	 5.3049	 0.231	HIP1
 17999	 	  5	0	057.71840206	+23.96158076	   9.93	  0.75	   18.86	  0.83	  -43.51	  0.69	 6.9844	 0.078	HIP1
 18018	 	  5	2	057.76257394	+23.90376788	  28.27	  2.57	  148.00	  2.75	  -48.50	  2.44	10.3326	 1.160	HIP1
 18046	 	  5	0	057.85541662	+25.16295707	   5.62	  0.50	   -9.68	  0.56	  -12.09	  0.44	 6.8432	 0.160	HIP1
 18050	 	  5	0	057.86334066	+24.51876077	   7.65	  1.34	   21.84	  1.40	  -45.50	  1.08	 8.9468	 0.380	HIP1
 18097	 	  5	0	058.02277952	+22.67245674	  37.07	  0.73	  206.51	  0.78	 -339.56	  0.62	 7.7067	 0.684	HIP1
 18106	 	  5	0	058.04781677	+25.16347679	  25.81	  0.53	 -122.38	  0.59	 -164.51	  0.48	 6.8938	 0.583	HIP1
 18154	 	  5	0	058.22277897	+24.71584062	  10.13	  1.66	   15.64	  1.99	  -46.22	  1.66	 9.5480	 0.480	HIP1
 18181	 	  5	0	058.33818091	+23.12359804	   2.71	  1.25	    8.46	  1.19	    6.20	  1.08	 8.4188	 1.540	HIP1
 18263	 	  5	0	058.60511805	+24.36019607	   5.43	  2.75	   22.71	  3.69	  -48.76	  3.27	11.1694	 0.714	HIP1
 18296	 	  5	0	058.68574892	+23.20161005	   1.55	  0.87	    2.34	  0.91	   -8.12	  0.81	 7.9647	 0.048	HIP1

