#															
#   VizieR Astronomical Server cdsarc.u-strasbg.fr															
#    Date: 2017-01-25T11:22:28 [V1.99+ (14-Oct-2013)]															
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]											
#Column	e_pmRA	(F6.2)	Formal error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]											
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]											
#Column	e_pmDE	(F6.2)	Formal error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]											
#Column	Hpmag	(F7.4)	Hipparcos magnitude	[ucd=phot.mag;em.opt.V]											
#Column	e_Hpmag	(F7.4)	Error on mean Hpmag	[ucd=stat.error;phot.mag;em.IR.H]											
#Column	B-V	(F6.3)	Colour index	[ucd=phot.color;em.opt.B;em.opt.V]											
#Column	e_B-V	(F6.3)	Formal error on colour index	[ucd=stat.error;phot.color;em.opt.B]											
#Column	HIP1	(A4)	"Data from the first edition of the Hipparcos Catalog (1997, Cat. I/239)"	[ucd=meta.ref.url]											
HIP	RArad	DErad	Plx	e_Plx			pmRA	e_pmRA	pmDE	e_pmDE	Hpmag	e_Hpmag	B-V	e_B-V	HIP1
 	deg	deg	mas	mas			mas/yr	mas/yr	mas/yr	mas/yr	mag	mag	mag	mag	
------	------------	------------	-------	------			--------	------	--------	------	-------	-------	------	------	----
16996	54.64957007	24.60168679	8.96	1.07	0.12	111.6071429	3.47	1.55	-22.69	1.46	8.3007	0.0012	0.428	0.015	HIP1
17020	54.73688334	24.56991538	2.98	2.75	0.6275	335.5704698	21.24	3.71	-44.93	3.32	10.6845	0.0041	0.645	0.015	HIP1
17034	54.77795755	24.70298266	8.32	0.79	0.04	120.1923077	23.91	0.97	-45.11	0.74	7.1287	0.0008	0.039	0.008	HIP1
17044	54.80608403	24.46663084	10.19	2.19	0.27375	98.13542689	23.24	2.62	-43.11	2.16	10.5328	0.004	0.616	0.005	HIP1
17091	54.92150616	23.2909875	11.82	1.94	0.4775	84.60236887	26.82	2.74	-44.23	2.11	10.0767	0.005	0.608	0.056	HIP1
17181	55.19293083	25.32952648	6.83	0.5	0.14625	146.4128843	9.83	0.58	-14.86	0.5	6.1465	0.0009	0.097	0.005	HIP1
17225	55.34564028	23.48704602	8.1	1.06	0.0125	123.4567901	21.78	1.42	-44.97	1.26	9.279	0.0019	0.437	0.006	HIP1
17245	55.40064469	25.61943238	6.64	1.51	0.17	150.6024096	14.67	1.8	-47.59	1.67	10.2149	0.0026	0.589	0.004	HIP1
17289	55.51962651	22.85866532	7.65	1.5	0.04375	130.7189542	20.04	1.89	-42.56	1.51	9.2749	0.0024	0.463	0.003	HIP1
17305	55.56627328	22.78664002	18.77	0.84	1.34625	53.27650506	20.81	1.03	-75.66	0.88	7.4944	0.0009	0.428	0.013	HIP1
17317	55.60005084	22.42124648	8.27	2.07	0.03375	120.9189843	18.87	2.22	-43.38	1.71	10.4945	0.0051	0.7	0.02	HIP1
17401	55.92300723	23.64925995	7.58	0.9	0.0525	131.9261214	18.77	1.06	-46.36	0.95	8.0169	0.0013	0.347	0.01	HIP1
17403	55.92992842	25.08083883	7.93	0.6	0.00875	126.1034048	22.38	0.97	-55.13	0.98	7.5779	0.0015	0.141	0.008	HIP1
17489	56.20084225	24.28957701	8.65	0.36	0.08125	115.6069364	20.38	0.43	-44.81	0.37	5.4507	0.0006	-0.034	0.016	HIP1
17497	56.21342697	23.26902901	8.33	1.22	0.04125	120.0480192	21.87	1.37	-43.18	1.08	9.0747	0.0019	0.403	0.007	HIP1
17499	56.21884818	24.1134484	8.06	0.25	0.0075	124.0694789	20.84	0.28	-46.06	0.23	3.6857	0.0006	-0.105	0.013	HIP1
17527	56.29052848	24.83937328	7.97	0.37	0.00375	125.4705144	20.36	0.45	-46.52	0.41	5.6447	0.0006	-0.064	0.012	HIP1
17531	56.30200903	24.46737906	7.97	0.33	0.00375	125.4705144	21.24	0.38	-40.56	0.35	4.2724	0.0006	-0.11	0.006	HIP1
17572	56.45334199	23.14725707	8.24	0.75	0.03	121.3592233	20.5	0.85	-44.55	0.74	6.8756	0.0011	0.06	0.011	HIP1
17573	56.45663811	24.36785797	8.51	0.28	0.06375	117.5088132	20.95	0.31	-45.98	0.28	3.8591	0.0006	-0.063	0.015	HIP1
17579	56.4769331	24.55462133	8.77	0.54	0.09625	114.0250855	20.18	0.7	-44.87	0.62	5.7675	0.0011	-0.036	0.008	HIP1
17583	56.49636075	25.39870211	8	0.89	0	125	19	0.99	-47.23	0.94	8.108	0.0012	0.213	0.006	HIP1
17588	56.51203202	24.52800593	8.58	0.56	0.0725	116.5501166	19.88	0.73	-44.37	0.65	6.4389	0.0012	-0.02	0.006	HIP1
17608	56.58150148	23.94846199	8.58	0.37	0.0725	116.5501166	21.13	0.35	-43.65	0.27	4.1534	0.001	-0.051	0.02	HIP1
17625	56.64506759	25.84397069	4.42	1.48	0.4475	226.2443439	20.91	1.65	-45.13	1.38	8.8163	0.002	0.355	0.007	HIP1
17664	56.74743147	24.52023406	7.66	0.66	0.0425	130.5483029	22.73	0.84	-45	0.85	6.8487	0.0006	0.021	0.007	HIP1
17684	56.82151786	23.72681305	15.52	0.73	0.94	64.43298969	-34.94	0.69	-25.54	0.55	7.0983	0.0017	0.542	0.014	HIP1
17692	56.83731961	23.80345385	8.9	0.77	0.1125	112.3595506	18.56	0.75	-44.31	0.6	7.0227	0.0011	0.03	0.001	HIP1
17694	56.84535265	22.92223155	8.62	0.84	0.0775	116.0092807	20.91	1.04	-44.88	0.87	8.2381	0.0012	0.255	0.004	HIP1
17702	56.87110081	24.10524179	8.09	0.42	0.01125	123.6093943	19.34	0.39	-43.67	0.33	2.848	0.0006	-0.086	0.012	HIP1
17704	56.87267468	24.2884529	9.42	0.75	0.1775	106.1571125	18.33	0.87	-44.69	0.74	6.8592	0.0013	0.066	0.006	HIP1
17729	56.94509471	25.38580796	9.68	0.93	0.21	103.3057851	19.26	0.96	-46.75	0.91	8.3816	0.001	0.262	0.008	HIP1
17759	57.02732727	24.98848492	6.03	0.7	0.24625	165.8374793	-28	0.78	-28	0.74	6.5461	0.0044	1.701	0.001	HIP1
17776	57.08668458	23.42136364	8.45	0.39	0.05625	118.3431953	17.99	0.39	-46.57	0.32	5.4355	0.0008	-0.067	0.008	HIP1
17791	57.1253504	24.34562943	7.87	1.32	0.01625	127.064803	17.68	1.48	-43.28	1.37	7.0038	0.0013	0.128	0.005	HIP1
17812	57.17454968	25.8007546	3.38	1.06	0.5775	295.8579882	-2.22	1.53	-4.48	1.74	8.4829	0.0023	0.11	0.015	HIP1
17828	57.22794172	22.79922128	4.15	0.97	0.48125	240.9638554	6.76	1.14	-4.45	0.93	8.1391	0.0027	0.05	0.015	HIP1
17832	57.23713023	23.85727235	13.22	0.52	0.6525	75.6429652	46.63	0.53	-56.75	0.44	6.5595	0.0008	0.377	0.009	HIP1
17847	57.29054699	24.05352413	8.53	0.39	0.06625	117.2332943	17.7	0.36	-44.18	0.32	3.6084	0.001	-0.07	0.015	HIP1
17851	57.29668416	24.13682556	8.54	0.31	0.0675	117.0960187	18.07	0.3	-47.2	0.27	5.0295	0.0017	-0.082	0.004	HIP1
17862	57.34057535	24.38106398	8.18	0.59	0.0225	122.2493888	17.42	0.65	-45.38	0.52	6.6115	0.0012	-0.027	0.004	HIP1
17892	57.40903632	22.53359199	8.3	0.66	0.0375	120.4819277	18.52	0.8	-42.87	0.65	7.0302	0.0011	0.033	0.008	HIP1
17900	57.43133303	23.71196321	8.72	0.6	0.09	114.6788991	16.73	0.63	-44.82	0.53	6.1646	0.0009	-0.046	0.007	HIP1
17921	57.47940817	22.24426274	8.86	0.42	0.1075	112.8668172	24.31	0.48	-44.46	0.39	6.072	0.0006	-0.006	0.015	HIP1
17923	57.49184621	23.84880345	6.81	0.72	0.14875	146.8428781	16.81	0.82	-44.88	0.68	6.7608	0.0012	0.063	0.008	HIP1
17928	57.51401483	22.59178987	24.89	0.75	2.11125	40.17677782	156.86	0.88	-60.62	0.73	7.4024	0.0012	0.538	0.015	HIP1
17954	57.57881127	25.57964845	17.71	0.55	1.21375	56.46527386	41	0.7	-112.74	0.73	5.3049	0.0012	0.231	0.005	HIP1
17999	57.71840206	23.96158076	9.93	0.75	0.24125	100.7049345	18.86	0.83	-43.51	0.69	6.9844	0.0006	0.078	0.009	HIP1
18018	57.76257394	23.90376788	28.27	2.57	2.53375	35.37318712	148	2.75	-48.5	2.44	10.3326	0.0039	1.16	0.04	HIP1
18046	57.85541662	25.16295707	5.62	0.5	0.2975	177.9359431	-9.68	0.56	-12.09	0.44	6.8432	0.0009	0.16	0.015	HIP1
18050	57.86334066	24.51876077	7.65	1.34	0.04375	130.7189542	21.84	1.4	-45.5	1.08	8.9468	0.0021	0.38	0.009	HIP1
18097	58.02277952	22.67245674	37.07	0.73	3.63375	26.97599137	206.51	0.78	-339.56	0.62	7.7067	0.0013	0.684	0.002	HIP1
18106	58.04781677	25.16347679	25.81	0.53	2.22625	38.74467261	-122.38	0.59	-164.51	0.48	6.8938	0.0005	0.583	0.003	HIP1
18154	58.22277897	24.71584062	10.13	1.66	0.26625	98.71668312	15.64	1.99	-46.22	1.66	9.548	0.0021	0.48	0.011	HIP1
18181	58.33818091	23.12359804	2.71	1.25	0.66125	369.00369	8.46	1.19	6.2	1.08	8.4188	0.0015	1.54	0.02	HIP1
18263	58.60511805	24.36019607	5.43	2.75	0.32125	184.1620626	22.71	3.69	-48.76	3.27	11.1694	0.0055	0.714	0.015	HIP1
18296	58.68574892	23.20161005	1.55	0.87	0.80625	645.1612903	2.34	0.91	-8.12	0.81	7.9647	0.0016	0.048	0.014	HIP1
